Beds,Baths,Square Feet,lotSize,Property Type,Listing Price,Address,city
5,4,3041,11148,Residential - Single Family,960000,11855 Padua Ln,Orlando
3,1,1292,8413,Residential - Single Family,399900,3311 Oberlin Ave,Orlando
3,3,1682,976,Townhouse,324900,3567 Shallot Dr #104,Orlando
4,3,1861,2100,Townhouse,545000,10376 Folly Beach Rd,Orlando
3,3,2052,4199,Residential - Single Family,449000,5121 Jalisco Ln,Orlando
2,3,1800,2082,Condominium,499900,536 W Par St #5,Orlando
3,2,1495,10741,Residential - Single Family,509900,2908 Nancy St,Orlando
5,3,2865,15129,Residential - Single Family,629900,2312 Lielasus Dr,Orlando
2,2,988,8484,Condominium,178900,5140 Conroy Rd #22,Orlando
2,2,934,102262,Condominium,228011,3285 Westridge Blvd #103,Orlando
2,1,933,11322,Condominium,179000,2532 Robert Trent Jones Dr #1522,Orlando
3,2,1253,10163,Condominium,175000,4518 Commander Dr #1931,Orlando
2,2,1028,9989,Condominium,189000,5156 Conroy Rd #1124,Orlando
2,2,1160,4803,Condominium,294000,621 Cathcart Ave #5,Orlando
1,1,671,671,Condominium,198000,7395 Universal Blvd #204,Orlando
2,2,1261,3668,Condominium,414900,155 S Court Ave #1602,Orlando
3,2,1290,10166,Residential - Single Family,390000,16 Nancy Lee Ave,Orlando
2,1,952,6041,Residential - Single Family,239900,4421 Sebastian Way,Orlando
4,3,3049,5992,Residential - Single Family,639900,9865 Old Patina Way,Orlando
3,2,1292,385598,Condominium,276000,5550 E Michigan St #1107,Orlando
3,2,1651,9088,Residential - Single Family,439900,706 Braidwood Ln,Orlando
3,2,1418,12395,Residential - Single Family,320000,5067 Stone Harbour Rd,Orlando
5,5,4054,7408,Residential - Single Family,1049777,13119 Granger Ave,Orlando
2,2,820,261435,Condominium,185000,3709 Atrium Dr,Orlando
3,4,2695,24071,Residential - Single Family,490000,3728 S Lake Orlando Pkwy,Orlando
3,2,1560,8620,Residential - Single Family,289900,5284 Signal Hill Rd,Orlando
4,4,3704,14860,Residential - Single Family,2800000,2659 Lake Shore Dr,Orlando
2,1,1691,5151,Residential - Single Family,475000,122 N Mills Ave,Orlando
2,2,1125,63139,Condominium,159999,5861 La Costa Dr #115,Orlando
2,2,1056,1056,Condominium,299900,7395 Universal Blvd #606,Orlando
3,4,2192,2950,Townhouse,650000,1602 Park Lake St #5,Orlando
3,4,2081,1460,Townhouse,615000,1602 Park Lake St #4,Orlando
3,2,1100,4600,Residential - Single Family,325000,5423 Timberchase Ct,Orlando
3,4,2120,1460,Townhouse,625000,1602 Park Lake St #3,Orlando
NaN,NaN,15364,NaN,Land,1100000,10221 Atterbury Ct,Orlando
NaN,NaN,17236,NaN,Land,1000000,9700 Blandford Rd,Orlando
NaN,NaN,9429,NaN,Land,820000,8623 Farthington Way,Orlando
NaN,NaN,9433,NaN,Land,820000,8655 Farthington Way,Orlando
3,3,2417,76230,Residential - Single Family,625000,806 W Lake Mann Dr,Orlando
3,4,2150,1452,Townhouse,625000,1602 Park Lake St #2,Orlando
2,2,1368,NaN,Multi Family,394990,7557 Laureate Boulevard # 6201,Orlando
2,1,934,10259,Condominium,165000,4528 Commander Dr #2025,Orlando
2,2,1140,57259,Condominium,544900,150 E Robinson St #2405,Orlando
1,1,729,3668,Condominium,269900,155 S Court Ave #1606,Orlando
3,2,1254,6964,Residential - Single Family,450000,1913 Westpointe Cir,Orlando
